frame.time_epoch;ip.src;ip.dst;tcp.srcport;tcp.dstport;udp.srcport;udp.dstport;http.host;tls.handshake.extensions_server_name;frame.protocols;frame.len;http.request.method;http.response.code;dns.qry.name;tcp.flags
1677546708.168967000;172.16.0.10;172.16.0.143;;;53;53388;;;eth:ethertype:ip:udp:dns;91;;;columbiahhc.com;
1677546708.428690000;172.16.0.143;64.151.228.124;52401;80;;;columbiahhc.com;;eth:ethertype:ip:tcp:http;491;GET;;;0x0018
1677546709.091609000;172.16.0.143;64.151.228.124;52402;80;;;columbiahhc.com;;eth:ethertype:ip:tcp:http;494;GET;;;0x0018
1677546809.058149000;172.16.0.143;172.16.0.10;;;60876;53;;;eth:ethertype:ip:udp:dns;80;;;wpad.rydeordie.audio;
1677546809.058446000;172.16.0.10;172.16.0.143;;;53;60876;;;eth:ethertype:ip:udp:dns;158;;;wpad.rydeordie.audio;
1677546809.068266000;172.16.0.143;172.16.0.10;;;51648;53;;;eth:ethertype:ip:udp:dns;76;;;wpad.localdomain;
1677546809.068860000;172.16.0.10;172.16.0.143;;;53;51648;;;eth:ethertype:ip:udp:dns;151;;;wpad.localdomain;
1677546809.107134000;172.16.0.143;172.16.0.10;;;50163;53;;;eth:ethertype:ip:udp:dns;79;;;learn.microsoft.com;
1677546809.116298000;172.16.0.143;239.255.255.250;;;63652;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;217;M-SEARCH;;;
1677546809.243588000;172.16.0.10;172.16.0.143;;;53;50163;;;eth:ethertype:ip:udp:dns;284;;;learn.microsoft.com;
1677546809.404623000;172.16.0.143;95.101.247.59;52406;443;;;;learn.microsoft.com;eth:ethertype:ip:tcp:tls;571;;;;0x0018
1677546809.494482000;172.16.0.143;95.101.247.59;52407;443;;;;learn.microsoft.com;eth:ethertype:ip:tcp:tls;571;;;;0x0018
1677546810.122987000;172.16.0.143;239.255.255.250;;;63652;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;217;M-SEARCH;;;
1677546811.124108000;172.16.0.143;239.255.255.250;;;63652;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;217;M-SEARCH;;;
1677546812.154045000;172.16.0.143;239.255.255.250;;;63652;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;217;M-SEARCH;;;
1677546820.038021000;172.16.0.143;67.207.84.43;52414;80;;;67.207.84.43;;eth:ethertype:ip:tcp:http;220;GET;;;0x0018
1677546821.896087000;172.16.0.143;172.16.0.10;;;65117;53;;;eth:ethertype:ip:udp:dns;97;;;_ldap._tcp.pdc._msdcs.rydeordie.audio;
1677546821.896353000;172.16.0.10;172.16.0.143;;;53;65117;;;eth:ethertype:ip:udp:dns;164;;;_ldap._tcp.pdc._msdcs.rydeordie.audio;
1677546824.401278000;172.16.0.143;172.16.0.10;;;52736;53;;;eth:ethertype:ip:udp:dns;97;;;_ldap._tcp.pdc._msdcs.rydeordie.audio;
1677546824.401516000;172.16.0.10;172.16.0.143;;;53;52736;;;eth:ethertype:ip:udp:dns;164;;;_ldap._tcp.pdc._msdcs.rydeordie.audio;
1677546847.325068000;172.16.0.143;172.16.0.10;;;59020;53;;;eth:ethertype:ip:udp:dns;72;;;www.bing.com;
1677546847.420409000;172.16.0.10;172.16.0.143;;;53;59020;;;eth:ethertype:ip:udp:dns;273;;;www.bing.com;
1677546847.562209000;172.16.0.143;88.221.87.91;52415;443;;;;www.bing.com;eth:ethertype:ip:tcp:tls;251;;;;0x0018
1677547032.708833000;172.16.0.143;172.16.0.10;;;53064;53;;;eth:ethertype:ip:udp:dns;89;;;v10.events.data.microsoft.com;
1677547032.802457000;172.16.0.10;172.16.0.143;;;53;53064;;;eth:ethertype:ip:udp:dns;229;;;v10.events.data.microsoft.com;
1677547033.034253000;172.16.0.143;104.208.16.90;52431;443;;;;v10.events.data.microsoft.com;eth:ethertype:ip:tcp:tls;268;;;;0x0018
1677547046.713780000;172.16.0.143;20.166.126.56;52433;443;;;;fe3cr.delivery.mp.microsoft.com;eth:ethertype:ip:tcp:tls;270;;;;0x0018
1677547047.905435000;172.16.0.143;172.16.0.10;;;59891;53;;;eth:ethertype:ip:udp:dns;89;;;v10.events.data.microsoft.com;
1677547048.006957000;172.16.0.10;172.16.0.143;;;53;59891;;;eth:ethertype:ip:udp:dns;229;;;v10.events.data.microsoft.com;
1677547048.242479000;172.16.0.143;104.208.16.90;52434;443;;;;v10.events.data.microsoft.com;eth:ethertype:ip:tcp:tls;268;;;;0x0018
1677547048.251323000;172.16.0.143;172.16.0.10;;;55543;53;;;eth:ethertype:ip:udp:dns;92;;;geo.prod.do.dsp.mp.microsoft.com;
1677547048.325237000;172.16.0.10;172.16.0.143;;;53;55543;;;eth:ethertype:ip:udp:dns;179;;;geo.prod.do.dsp.mp.microsoft.com;
1677547048.469431000;172.16.0.143;20.191.46.211;52435;443;;;;geo.prod.do.dsp.mp.microsoft.com;eth:ethertype:ip:tcp:tls;271;;;;0x0018
1677547049.103364000;172.16.0.143;172.16.0.10;;;63001;53;;;eth:ethertype:ip:udp:dns;94;;;kv501.prod.do.dsp.mp.microsoft.com;
1677547049.167685000;172.16.0.10;172.16.0.143;;;53;63001;;;eth:ethertype:ip:udp:dns;204;;;kv501.prod.do.dsp.mp.microsoft.com;
1677547049.294937000;172.16.0.143;23.64.22.12;52436;443;;;;kv501.prod.do.dsp.mp.microsoft.com;eth:ethertype:ip:tcp:tls;273;;;;0x0018
1677547049.799527000;172.16.0.143;172.16.0.10;;;59543;53;;;eth:ethertype:ip:udp:dns;89;;;v10.events.data.microsoft.com;
1677547049.857659000;172.16.0.10;172.16.0.143;;;53;59543;;;eth:ethertype:ip:udp:dns;229;;;v10.events.data.microsoft.com;
1677547049.907859000;172.16.0.143;172.16.0.10;;;64028;53;;;eth:ethertype:ip:udp:dns;94;;;cp501.prod.do.dsp.mp.microsoft.com;
1677547049.967705000;172.16.0.10;172.16.0.143;;;53;64028;;;eth:ethertype:ip:udp:dns;204;;;cp501.prod.do.dsp.mp.microsoft.com;
1677547050.091799000;172.16.0.143;104.208.16.90;52437;443;;;;v10.events.data.microsoft.com;eth:ethertype:ip:tcp:tls;268;;;;0x0018
1677547050.096144000;172.16.0.143;23.64.22.12;52438;443;;;;cp501.prod.do.dsp.mp.microsoft.com;eth:ethertype:ip:tcp:tls;273;;;;0x0018
1677547053.464675000;172.16.0.143;172.16.0.10;;;54525;53;;;eth:ethertype:ip:udp:dns;89;;;v10.events.data.microsoft.com;
1677547053.518573000;172.16.0.10;172.16.0.143;;;53;54525;;;eth:ethertype:ip:udp:dns;229;;;v10.events.data.microsoft.com;
1677547053.751567000;172.16.0.143;104.208.16.90;52441;443;;;;v10.events.data.microsoft.com;eth:ethertype:ip:tcp:tls;268;;;;0x0018
1677547057.083140000;172.16.0.143;172.16.0.10;;;51183;53;;;eth:ethertype:ip:udp:dns;89;;;v10.events.data.microsoft.com;
1677547057.135531000;172.16.0.10;172.16.0.143;;;53;51183;;;eth:ethertype:ip:udp:dns;229;;;v10.events.data.microsoft.com;
1677547057.378031000;172.16.0.143;104.208.16.90;52442;443;;;;v10.events.data.microsoft.com;eth:ethertype:ip:tcp:tls;268;;;;0x0018
1677547065.147120000;172.16.0.143;239.255.255.250;;;51185;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;179;M-SEARCH;;;
1677547065.150694000;172.16.0.143;239.255.255.250;;;51185;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;179;M-SEARCH;;;
1677547065.359152000;172.16.0.143;239.255.255.250;;;51185;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;179;M-SEARCH;;;
1677547068.149012000;172.16.0.143;239.255.255.250;;;51185;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;179;M-SEARCH;;;
1677547068.149667000;172.16.0.143;239.255.255.250;;;51185;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;179;M-SEARCH;;;
1677547068.363861000;172.16.0.143;239.255.255.250;;;51185;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;179;M-SEARCH;;;
1677547071.159989000;172.16.0.143;239.255.255.250;;;51185;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;179;M-SEARCH;;;
1677547071.160203000;172.16.0.143;239.255.255.250;;;51185;1900;239.255.255.250:1900;;eth:ethertype:ip:udp:ssdp;179;M-SEARCH;;;
1677547141.322683000;172.16.0.143;172.16.0.10;;;51551;53;;;eth:ethertype:ip:udp:dns;72;;;broadcom.com;
1677547141.377956000;172.16.0.10;172.16.0.143;;;53;51551;;;eth:ethertype:ip:udp:dns;120;;;broadcom.com;
1677547141.664894000;172.16.0.143;54.68.22.26;52448;443;;;;broadcom.com;eth:ethertype:ip:tcp:tls;233;;;;0x0018
1677547142.617828000;172.16.0.143;172.16.0.10;;;57799;53;;;eth:ethertype:ip:udp:dns;76;;;www.broadcom.com;
1677547142.685463000;172.16.0.10;172.16.0.143;;;53;57799;;;eth:ethertype:ip:udp:dns;175;;;www.broadcom.com;
1677547142.807262000;172.16.0.143;104.18.32.150;52449;443;;;;www.broadcom.com;eth:ethertype:ip:tcp:tls;237;;;;0x0018
1677547183.347139000;172.16.0.143;172.16.0.10;;;52692;53;;;eth:ethertype:ip:udp:dns;76;;;dns.msftncsi.com;
1677547183.413290000;172.16.0.10;172.16.0.143;;;53;52692;;;eth:ethertype:ip:udp:dns;92;;;dns.msftncsi.com;
1677547191.098194000;172.16.0.143;172.16.0.10;;;59904;53;;;eth:ethertype:ip:udp:dns;127;;;_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.rydeordie.audio;
1677547191.098449000;172.16.0.10;172.16.0.143;;;53;59904;;;eth:ethertype:ip:udp:dns;194;;;_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.rydeordie.audio;
1677547223.121290000;172.16.0.143;172.16.0.10;;;57991;53;;;eth:ethertype:ip:udp:dns;89;;;v10.events.data.microsoft.com;
1677547223.185269000;172.16.0.10;172.16.0.143;;;53;57991;;;eth:ethertype:ip:udp:dns;229;;;v10.events.data.microsoft.com;
1677547223.419684000;172.16.0.143;104.208.16.88;52461;443;;;;v10.events.data.microsoft.com;eth:ethertype:ip:tcp:tls;268;;;;0x0018
1677547228.036468000;172.16.0.143;172.16.0.10;;;55633;53;;;eth:ethertype:ip:udp:dns;80;;;wpad.rydeordie.audio;
1677547228.036720000;172.16.0.10;172.16.0.143;;;53;55633;;;eth:ethertype:ip:udp:dns;158;;;wpad.rydeordie.audio;
1677547228.036906000;172.16.0.143;172.16.0.10;;;59007;53;;;eth:ethertype:ip:udp:dns;76;;;wpad.localdomain;
1677547228.037011000;172.16.0.10;172.16.0.143;;;53;59007;;;eth:ethertype:ip:udp:dns;151;;;wpad.localdomain;
1677547236.047295000;172.16.0.143;172.16.0.10;;;52674;53;;;eth:ethertype:ip:udp:dns;80;;;wpad.rydeordie.audio;
1677547236.047543000;172.16.0.10;172.16.0.143;;;53;52674;;;eth:ethertype:ip:udp:dns;158;;;wpad.rydeordie.audio;
1677547236.047743000;172.16.0.143;172.16.0.10;;;65258;53;;;eth:ethertype:ip:udp:dns;76;;;wpad.localdomain;
1677547236.047822000;172.16.0.10;172.16.0.143;;;53;65258;;;eth:ethertype:ip:udp:dns;151;;;wpad.localdomain;
1677547237.875593000;172.16.0.143;172.16.0.10;;;50075;53;;;eth:ethertype:ip:udp:dns;80;;;wpad.rydeordie.audio;
1677547237.875807000;172.16.0.10;172.16.0.143;;;53;50075;;;eth:ethertype:ip:udp:dns;158;;;wpad.rydeordie.audio;
1677547237.876016000;172.16.0.143;172.16.0.10;;;62725;53;;;eth:ethertype:ip:udp:dns;76;;;wpad.localdomain;
1677547237.876096000;172.16.0.10;172.16.0.143;;;53;62725;;;eth:ethertype:ip:udp:dns;151;;;wpad.localdomain;
1677547252.882236000;172.16.0.143;172.16.0.10;;;50454;53;;;eth:ethertype:ip:udp:dns;80;;;wpad.rydeordie.audio;
1677547252.882470000;172.16.0.10;172.16.0.143;;;53;50454;;;eth:ethertype:ip:udp:dns;158;;;wpad.rydeordie.audio;
1677547252.882667000;172.16.0.143;172.16.0.10;;;59369;53;;;eth:ethertype:ip:udp:dns;76;;;wpad.localdomain;
1677547252.882757000;172.16.0.10;172.16.0.143;;;53;59369;;;eth:ethertype:ip:udp:dns;151;;;wpad.localdomain;
1677547312.896293000;172.16.0.143;172.16.0.10;;;65405;53;;;eth:ethertype:ip:udp:dns;80;;;wpad.rydeordie.audio;
